County,Election,absentees_issued,absentees_counted,Total Voters,Total Ballots,Population_2010,RUCC_2013,Description,turnout_%,absentee_%_of_voters,absentee_%_of_population,population_1000s,FIPS
COLUMBIA COUNTY,2022_08_09-partisan_primary,3113,2411,12267,12267.0,56833.0,2.0,"Metro - Counties in metro areas of 250,000 to 1 million population                                                                                                                                      ",0.21584290816954937,0.19654357218553845,0.04242253620255837,56.833,55021
CRAWFORD COUNTY,2022_08_09-partisan_primary,701,582,3268,3268.0,16644.0,7.0,"Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area                                                                                                                            ",0.1963470319634703,0.1780905752753978,0.034967555875991346,16.644,55023
DANE COUNTY,2022_08_09-partisan_primary,59980,47407,132344,131741.0,488073.0,2.0,"Metro - Counties in metro areas of 250,000 to 1 million population                                                                                                                                      ",0.2711561590171962,0.3582104213262407,0.09713096196675497,488.073,55025
DODGE COUNTY,2022_08_09-partisan_primary,3993,3118,21209,21209.0,88759.0,4.0,"Nonmetro - Urban population of 20,000 or more, adjacent to a metro area                                                                                                                                 ",0.23895041629581226,0.14701306049318685,0.035128832005768426,88.759,55027
DOOR COUNTY,2022_08_09-partisan_primary,2032,1634,8493,8493.0,27785.0,6.0,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area                                                                                                                                ",0.30566852618319235,0.19239373601789708,0.05880870973546878,27.785,55029
DOUGLAS COUNTY,2022_08_09-partisan_primary,3069,2310,9672,9669.0,44159.0,2.0,"Metro - Counties in metro areas of 250,000 to 1 million population                                                                                                                                      ",0.21902669897416155,0.23883374689826303,0.05231096718675694,44.159,55031
DUNN COUNTY,2022_08_09-partisan_primary,1958,1457,7296,7295.0,43857.0,6.0,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area                                                                                                                                ",0.1663588480744237,0.19969846491228072,0.033221606585037734,43.857,55033
EAU CLAIRE COUNTY,2022_08_09-partisan_primary,6780,5486,20536,20533.0,98736.0,3.0,"Metro - Counties in metro areas of fewer than 250,000 population                                                                                                                                        ",0.20798898071625344,0.26714063108687186,0.055562307567655164,98.736,55035
FLORENCE COUNTY,2022_08_09-partisan_primary,175,153,1006,722.0,4423.0,9.0,"Nonmetro - Completely rural or less than 2,500 urban population, not adjacent to a metro area                                                                                                           ",0.2274474338684151,0.15208747514910537,0.03459190594619037,4.423,55037
FOND DU LAC COUNTY,2022_08_09-partisan_primary,5072,3975,23255,23254.0,101633.0,3.0,"Metro - Counties in metro areas of fewer than 250,000 population                                                                                                                                        ",0.22881347593793355,0.17093098258439046,0.039111312270620764,101.633,55039
FOREST COUNTY,2022_08_09-partisan_primary,387,275,1808,1808.0,9304.0,9.0,"Nonmetro - Completely rural or less than 2,500 urban population, not adjacent to a metro area                                                                                                           ",0.1943250214961307,0.15210176991150443,0.029557179707652623,9.304,55041
GRANT COUNTY,2022_08_09-partisan_primary,2055,1567,7833,7588.0,51208.0,6.0,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area                                                                                                                                ",0.15296438056553663,0.20005106600280864,0.030600687392594906,51.208,55043
GREEN COUNTY,2022_08_09-partisan_primary,1925,1483,7876,7769.0,36842.0,2.0,"Metro - Counties in metro areas of 250,000 to 1 million population                                                                                                                                      ",0.2137777536507247,0.1882935500253936,0.040252972151349,36.842,55045
GREEN LAKE COUNTY,2022_08_09-partisan_primary,711,564,4190,4190.0,19051.0,6.0,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area                                                                                                                                ",0.2199359613668574,0.13460620525059666,0.0296047451577345,19.051,55047
IOWA COUNTY,2022_08_09-partisan_primary,1407,1070,4887,4887.0,23687.0,2.0,"Metro - Counties in metro areas of 250,000 to 1 million population                                                                                                                                      ",0.20631570059526322,0.21894822999795374,0.045172457466120655,23.687,55049
IRON COUNTY,2022_08_09-partisan_primary,443,350,1471,1469.0,5916.0,9.0,"Nonmetro - Completely rural or less than 2,500 urban population, not adjacent to a metro area                                                                                                           ",0.24864773495605139,0.23793337865397687,0.05916159567275186,5.916,55051
JACKSON COUNTY,2022_08_09-partisan_primary,523,428,3594,3594.0,20449.0,6.0,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area                                                                                                                                ",0.17575431561445548,0.11908736783528102,0.020930118832216734,20.449,55053
JEFFERSON COUNTY,2022_08_09-partisan_primary,4333,3473,17964,17955.0,83686.0,4.0,"Nonmetro - Urban population of 20,000 or more, adjacent to a metro area                                                                                                                                 ",0.21465956073895276,0.19333110665775996,0.041500370432330375,83.686,55055
JUNEAU COUNTY,2022_08_09-partisan_primary,1029,800,5711,5711.0,26664.0,7.0,"Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area                                                                                                                            ",0.21418391839183917,0.14008054631413064,0.030003000300030003,26.664,55057
KENOSHA COUNTY,2022_08_09-partisan_primary,12184,9895,32446,31908.0,166426.0,1.0,Metro - Counties in metro areas of 1 million population or more                                                                                                                                         ,0.1949575186569406,0.3049682549466806,0.05945585425354211,166.426,55059
KEWAUNEE COUNTY,2022_08_09-partisan_primary,950,698,4593,4593.0,20574.0,2.0,"Metro - Counties in metro areas of 250,000 to 1 million population                                                                                                                                      ",0.2232429279673374,0.15197038972349228,0.03392631476620978,20.574,55061
LA CROSSE COUNTY,2022_08_09-partisan_primary,8800,7230,23537,23539.0,114638.0,3.0,"Metro - Counties in metro areas of fewer than 250,000 population                                                                                                                                        ",0.20531586384968334,0.30717593576071717,0.06306809260454649,114.638,55063
LAFAYETTE COUNTY,2022_08_09-partisan_primary,568,436,2711,2711.0,16836.0,8.0,"Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area                                                                                                               ",0.161023996198622,0.16082626337144965,0.025896887621762888,16.836,55065
LANGLADE COUNTY,2022_08_09-partisan_primary,701,548,4165,4165.0,19977.0,6.0,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area                                                                                                                                ",0.20848976322771187,0.13157262905162065,0.02743154627821995,19.977,55067
LINCOLN COUNTY,2022_08_09-partisan_primary,1340,1052,6414,6414.0,28743.0,6.0,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area                                                                                                                                ",0.2231499843440142,0.16401621453071405,0.036600215704693316,28.743,55069
MANITOWOC COUNTY,2022_08_09-partisan_primary,4175,3367,16417,16417.0,81442.0,4.0,"Nonmetro - Urban population of 20,000 or more, adjacent to a metro area                                                                                                                                 ",0.20157903784288206,0.20509228239020527,0.041342304953218244,81.442,55071
MARATHON COUNTY,2022_08_09-partisan_primary,7711,6211,28191,28199.0,134063.0,3.0,"Metro - Counties in metro areas of fewer than 250,000 population                                                                                                                                        ",0.210281733214981,0.2203185413784541,0.04632896474045784,134.063,55073
MARINETTE COUNTY,2022_08_09-partisan_primary,2068,1707,9802,9802.0,41749.0,6.0,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area                                                                                                                                ",0.23478406668423196,0.17414813303407467,0.04088720687920669,41.749,55075
MARQUETTE COUNTY,2022_08_09-partisan_primary,651,457,3703,3703.0,15404.0,8.0,"Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area                                                                                                               ",0.2403921059465074,0.1234134485552255,0.02966761880031161,15.404,55077
MENOMINEE COUNTY,2022_08_09-partisan_primary,62,51,313,313.0,4232.0,8.0,"Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area                                                                                                               ",0.07396030245746692,0.16293929712460065,0.012051039697542534,4.232,55078
MILWAUKEE COUNTY,2022_08_09-partisan_primary,71641,55690,155208,151311.0,947735.0,1.0,Metro - Counties in metro areas of 1 million population or more                                                                                                                                         ,0.16376729782059332,0.35880882428740785,0.05876115158773286,947.735,55079
MONROE COUNTY,2022_08_09-partisan_primary,1607,1283,7400,7395.0,44673.0,6.0,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area                                                                                                                                ",0.16564815436617197,0.17337837837837838,0.028719808385378194,44.673,55081
OCONTO COUNTY,2022_08_09-partisan_primary,1627,1334,9104,9104.0,37660.0,2.0,"Metro - Counties in metro areas of 250,000 to 1 million population                                                                                                                                      ",0.2417419012214551,0.14652899824253077,0.03542219861922464,37.66,55083
ONEIDA COUNTY,2022_08_09-partisan_primary,2469,1844,9258,9256.0,35998.0,7.0,"Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area                                                                                                                            ",0.2571809544974721,0.19917908835601641,0.05122506805933663,35.998,55085
OUTAGAMIE COUNTY,2022_08_09-partisan_primary,11208,8846,35790,35150.0,176695.0,3.0,"Metro - Counties in metro areas of fewer than 250,000 population                                                                                                                                        ",0.20255242083816746,0.24716401229393686,0.05006366903421149,176.695,55087
OZAUKEE COUNTY,2022_08_09-partisan_primary,8387,7048,26289,26288.0,86395.0,1.0,Metro - Counties in metro areas of 1 million population or more                                                                                                                                         ,0.3042884426182071,0.2680969226672753,0.08157879506915909,86.395,55089
PEPIN COUNTY,2022_08_09-partisan_primary,209,160,1289,1287.0,7469.0,8.0,"Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area                                                                                                               ",0.17257999732226537,0.12412723041117145,0.021421877091980186,7.469,55091
PIERCE COUNTY,2022_08_09-partisan_primary,1847,1416,6083,6083.0,41019.0,1.0,Metro - Counties in metro areas of 1 million population or more                                                                                                                                         ,0.14829713059801555,0.2327798783494986,0.03452058802018577,41.019,55093
POLK COUNTY,2022_08_09-partisan_primary,1602,1172,7573,7566.0,44205.0,6.0,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area                                                                                                                                ",0.1713154620518041,0.15476033276112505,0.026512837914263093,44.205,55095
PORTAGE COUNTY,2022_08_09-partisan_primary,5425,4478,18115,17468.0,70019.0,4.0,"Nonmetro - Urban population of 20,000 or more, adjacent to a metro area                                                                                                                                 ",0.25871549150944745,0.24719845431962462,0.06395406960967737,70.019,55097
PRICE COUNTY,2022_08_09-partisan_primary,652,506,3636,3636.0,14159.0,9.0,"Nonmetro - Completely rural or less than 2,500 urban population, not adjacent to a metro area                                                                                                           ",0.25679779645455186,0.13916391639163916,0.03573698707535843,14.159,55099
RACINE COUNTY,2022_08_09-partisan_primary,13025,10051,40027,40023.0,195408.0,3.0,"Metro - Counties in metro areas of fewer than 250,000 population                                                                                                                                        ",0.20483808237124376,0.25110550378494517,0.05143596986817326,195.408,55101
RICHLAND COUNTY,2022_08_09-partisan_primary,667,507,3538,3537.0,18021.0,6.0,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area                                                                                                                                ",0.19632650796293213,0.14330130016958734,0.028133843848843015,18.021,55103
ROCK COUNTY,2022_08_09-partisan_primary,10253,7912,27271,27265.0,160331.0,3.0,"Metro - Counties in metro areas of fewer than 250,000 population                                                                                                                                        ",0.17009187243889204,0.2901250412526127,0.049347911508067686,160.331,55105
RUSK COUNTY,2022_08_09-partisan_primary,497,377,3331,3331.0,14755.0,6.0,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area                                                                                                                                ",0.22575398170111827,0.11317922545782047,0.02555066079295154,14.755,55107
SAUK COUNTY,2022_08_09-partisan_primary,3642,2960,13008,13007.0,61976.0,4.0,"Nonmetro - Urban population of 20,000 or more, adjacent to a metro area                                                                                                                                 ",0.20988769846392152,0.22755227552275523,0.04776042338969924,61.976,55111
SAWYER COUNTY,2022_08_09-partisan_primary,979,765,4531,4530.0,16557.0,7.0,"Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area                                                                                                                            ",0.2736606873225826,0.16883690134628118,0.046204022467838377,16.557,55113
SHAWANO COUNTY,2022_08_09-partisan_primary,1734,1405,9589,9571.0,41949.0,6.0,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area                                                                                                                                ",0.22858709385205844,0.14652205652309938,0.03349305108584233,41.949,55115
SHEBOYGAN COUNTY,2022_08_09-partisan_primary,6573,5355,26682,26688.0,115507.0,3.0,"Metro - Counties in metro areas of fewer than 250,000 population                                                                                                                                        ",0.23099898707437644,0.2006970991679784,0.04636082661656869,115.507,55117
TAYLOR COUNTY,2022_08_09-partisan_primary,608,506,4308,4308.0,20689.0,6.0,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area                                                                                                                                ",0.20822659384213835,0.11745589600742803,0.024457441152303156,20.689,55119
TREMPEALEAU COUNTY,2022_08_09-partisan_primary,892,714,5651,5651.0,28816.0,6.0,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area                                                                                                                                ",0.19610632981676845,0.12634931870465405,0.024777901166018877,28.816,55121
VERNON COUNTY,2022_08_09-partisan_primary,1201,953,7268,7264.0,29773.0,6.0,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area                                                                                                                                ",0.2441137943774561,0.13112272977435332,0.03200886709434723,29.773,55123
VILAS COUNTY,2022_08_09-partisan_primary,2892,1261,6867,6867.0,21430.0,9.0,"Nonmetro - Completely rural or less than 2,500 urban population, not adjacent to a metro area                                                                                                           ",0.3204386374241717,0.1836318625309451,0.05884274381707886,21.43,55125
WALWORTH COUNTY,2022_08_09-partisan_primary,6280,4982,23690,23690.0,102228.0,4.0,"Nonmetro - Urban population of 20,000 or more, adjacent to a metro area                                                                                                                                 ",0.231736901827288,0.2102997045166737,0.04873420197988809,102.228,55127
WASHBURN COUNTY,2022_08_09-partisan_primary,828,509,3913,3903.0,15911.0,7.0,"Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area                                                                                                                            ",0.24593048834139902,0.1300792231024789,0.031990446860662436,15.911,55129
WASHINGTON COUNTY,2022_08_09-partisan_primary,9204,7781,38650,38649.0,131887.0,1.0,Metro - Counties in metro areas of 1 million population or more                                                                                                                                         ,0.2930539022041596,0.2013195342820181,0.058997475111269494,131.887,55131
WAUKESHA COUNTY,2022_08_09-partisan_primary,37309,30299,118639,118633.0,389891.0,1.0,Metro - Counties in metro areas of 1 million population or more                                                                                                                                         ,0.30428760858804127,0.255388194438591,0.07771146294733657,389.891,55133
WAUPACA COUNTY,2022_08_09-partisan_primary,2151,1681,11912,11909.0,52410.0,6.0,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area                                                                                                                                ",0.22728486929975195,0.14111820013431833,0.03207403167334478,52.41,55135
WAUSHARA COUNTY,2022_08_09-partisan_primary,837,624,5490,5493.0,24496.0,6.0,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area                                                                                                                                ",0.22411822338340953,0.11366120218579236,0.025473546701502287,24.496,55137
WINNEBAGO COUNTY,2022_08_09-partisan_primary,10922,8529,31536,31531.0,166994.0,3.0,"Metro - Counties in metro areas of fewer than 250,000 population                                                                                                                                        ",0.18884510820748052,0.2704528158295282,0.05107369127034504,166.994,55139
WOOD COUNTY,2022_08_09-partisan_primary,3991,3294,15442,15445.0,74749.0,4.0,"Nonmetro - Urban population of 20,000 or more, adjacent to a metro area                                                                                                                                 ",0.20658470347429397,0.2133143375210465,0.04406747916360085,74.749,55141
